City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
656,Raymond Terrace,AU,75.99,clear sky,-32.75,151.75,Sleepy Hill Motor Inn
658,Sorong,ID,84.42,scattered clouds,-0.88,131.25,The Waigo Hotel
661,Pangai,TO,82.4,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
664,Lucea,JM,80.6,thunderstorm,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
666,Surin,TH,82.99,scattered clouds,14.88,103.49,Thananda Resort
667,Am Timan,TD,70.41,clear sky,11.03,20.28,Palais du chef Canton Salamt
670,Santa Cruz De La Palma,ES,71.6,scattered clouds,28.68,-17.76,H10 Taburiente Playa
679,Salta,AR,75.2,scattered clouds,-24.79,-65.41,Hotel Alejandro I
680,Tagusao,PH,86.49,clear sky,9.19,117.81,Toledo
682,Kota Bahru,MY,86.0,scattered clouds,6.13,102.24,Grand Riverview Hotel
683,Dafeng,CN,76.17,clear sky,23.45,108.59,Shenglong Hotel
686,Ixtapa,MX,75.99,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
692,Gigmoto,PH,84.25,scattered clouds,13.78,124.39,Cj's Travellers Inn
694,Lagoa Da Prata,BR,70.3,light rain,-20.02,-45.54,Pousada Parador da Figueira
695,Ratnagiri,IN,83.82,clear sky,16.98,73.3,Hotel Landmark
