City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,Lampang,18.33,99.5,62.6,88,0,2.24,TH,2020-11-12 00:04:57
211,Ostrovnoy,68.05,39.51,32.56,94,100,9.71,RU,2020-11-12 00:04:57
212,Kayseri,38.74,35.5,32.0,78,0,1.12,TR,2020-11-12 00:01:26
213,Port Blair,11.67,92.75,81.48,74,3,15.5,IN,2020-11-12 00:04:58
214,Wembley,-31.93,115.8,63.0,71,20,5.82,AU,2020-11-12 00:01:50
215,Leningradskiy,69.38,178.42,24.75,97,100,18.68,RU,2020-11-12 00:04:58
216,Amga,60.9,131.96,14.49,96,100,1.54,RU,2020-11-12 00:04:59
217,Yenagoa,4.92,6.26,75.83,93,22,3.76,NG,2020-11-12 00:04:59
218,Richards Bay,-28.78,32.04,64.98,82,78,5.14,ZA,2020-11-12 00:02:44
219,Belozerskoye,55.82,65.58,20.14,97,34,5.59,RU,2020-11-12 00:05:00
220,Atasu,48.68,71.64,33.44,96,67,15.37,KZ,2020-11-12 00:05:00
221,Fort Nelson,58.81,-122.7,5.0,77,75,3.36,CA,2020-11-12 00:00:09
222,Henties Bay,-22.12,14.28,57.99,89,0,3.0,NA,2020-11-12 00:05:00
223,Hambantota,6.12,81.12,79.43,82,100,9.19,LK,2020-11-12 00:05:00
224,Biak,-0.91,122.88,83.41,64,13,1.54,ID,2020-11-12 00:05:01
225,Pringsewu,-5.36,104.97,77.92,86,99,1.1,ID,2020-11-12 00:05:01
226,Fairbanks,64.84,-147.72,28.0,85,90,2.28,US,2020-11-12 00:00:48
227,Yerbogachen,61.28,108.01,12.33,96,75,5.86,RU,2020-11-12 00:05:01
228,Bandarbeyla,9.49,50.81,74.41,84,12,12.28,SO,2020-11-12 00:05:02
229,Vostok,46.49,135.88,32.36,93,0,3.83,RU,2020-11-12 00:05:02
230,Ahipara,-35.17,173.17,64.56,58,66,7.92,NZ,2020-11-12 00:05:02
231,Manuk Mangkaw,4.8,119.85,83.35,69,98,4.47,PH,2020-11-12 00:05:03
232,North Bend,43.41,-124.22,53.6,71,1,6.93,US,2020-11-12 00:05:03
233,Goldsboro,35.38,-77.99,75.2,94,75,5.82,US,2020-11-12 00:03:09
234,Panaba,21.28,-88.27,76.3,91,73,5.59,MX,2020-11-12 00:03:01
235,Chokurdakh,70.63,147.92,-12.96,91,89,2.84,RU,2020-11-12 00:05:04
236,Asau,46.43,26.4,42.8,87,90,5.82,RO,2020-11-12 00:05:04
237,Brae,60.4,-1.35,51.8,93,75,27.51,GB,2020-11-12 00:05:04
238,Ayr,55.46,-4.63,53.6,87,40,13.87,GB,2020-11-12 00:00:33
239,Takaka,-40.85,172.8,63.0,75,20,8.99,NZ,2020-11-12 00:05:05
240,Sakaiminato,35.55,133.23,46.4,87,20,3.36,JP,2020-11-12 00:05:05
241,Lowestoft,52.48,1.75,55.0,97,100,8.01,GB,2020-11-12 00:05:05
242,Katsuura,35.13,140.3,52.0,61,75,13.87,JP,2020-11-12 00:05:05
243,Chuy,-33.7,-53.46,60.96,89,30,9.4,UY,2020-11-12 00:05:06
244,Orlovskiy,46.87,42.06,31.35,91,1,4.07,RU,2020-11-12 00:05:06
245,Vardo,70.37,31.11,40.21,71,48,12.93,NO,2020-11-12 00:04:17
246,Itaituba,-4.28,-55.98,81.68,66,70,1.07,BR,2020-11-12 00:05:07
247,San Patricio,28.02,-97.52,78.8,65,20,12.75,US,2020-11-12 00:00:20
248,Saint-Joseph,-21.37,55.62,71.6,64,0,5.82,RE,2020-11-12 00:05:07
249,Arlit,18.74,7.39,70.72,23,0,9.93,NE,2020-11-12 00:05:07
250,Guerrero Negro,27.98,-114.06,66.83,47,6,14.0,MX,2020-11-12 00:05:08
251,Matara,5.95,80.54,77.9,82,100,2.8,LK,2020-11-12 00:05:08
252,Havre De Grace,39.55,-76.09,68.0,100,90,5.82,US,2020-11-12 00:03:36
253,Yuryuzan,54.86,58.42,16.83,96,90,3.96,RU,2020-11-12 00:05:09
254,Byron Bay,-28.65,153.62,75.99,57,40,11.41,AU,2020-11-12 00:05:09
255,Terrell,32.74,-96.28,71.6,28,1,3.36,US,2020-11-12 00:03:11
256,Portland,45.52,-122.68,51.01,66,1,4.7,US,2020-11-12 00:00:26
257,Saldanha,-33.01,17.94,62.6,72,0,4.7,ZA,2020-11-12 00:05:09
258,Buckeye,33.37,-112.58,69.8,19,1,4.7,US,2020-11-12 00:05:10
259,Taraz,42.9,71.37,44.6,87,90,13.42,KZ,2020-11-12 00:04:53
260,Paramonga,-10.67,-77.83,63.12,83,42,6.35,PE,2020-11-12 00:05:10
261,Vao,-22.67,167.48,72.21,84,48,19.35,NC,2020-11-12 00:05:10
262,Vanimo,-2.67,141.3,78.35,86,100,6.08,PG,2020-11-12 00:05:11
263,Norman Wells,65.28,-126.83,6.8,77,20,8.05,CA,2020-11-12 00:05:11
264,Santo Antonio Do Leverger,-15.87,-56.08,82.4,61,75,10.29,BR,2020-11-12 00:05:11
265,Grand Gaube,-20.01,57.66,73.99,76,3,5.01,MU,2020-11-12 00:05:12
266,Pokrovka,42.34,78.01,44.11,52,100,7.23,KG,2020-11-12 00:05:12
267,Lufilufi,-13.87,-171.6,86.0,79,75,6.93,WS,2020-11-12 00:05:12
268,Murovane,49.52,22.94,41.0,86,54,2.71,UA,2020-11-12 00:05:12
269,Bonavista,48.65,-53.11,41.0,80,98,8.05,CA,2020-11-12 00:05:13
270,Aykhal,66.0,111.5,19.4,92,75,4.47,RU,2020-11-12 00:05:13
271,Kamloops,50.67,-120.32,35.6,69,75,5.82,CA,2020-11-12 00:01:12
272,Jingdezhen,29.29,117.21,54.61,68,0,3.53,CN,2020-11-12 00:05:13
273,Visnes,59.36,5.22,50.0,71,100,19.46,NO,2020-11-12 00:05:14
274,Belyy Yar,53.6,91.39,24.8,85,0,4.47,RU,2020-11-12 00:05:14
